0	>> (0)	20	core.rb:24
1	>> (0)	53	scheduler.rb:29
2	>> (2)	27	pathname.rb:48
3	>> (2)	22	pathname.rb:48
4	>> (2)	22	pathname.rb:48
5	>> (2)	18	pathname.rb:48
6	>> (2)	35	pathname.rb:48
7	>> (2)	21	pathname.rb:48
8	>> (1)	342	pathname.rb:395
9	>> (0)	406	pathname.rb:353
10	>> (2)	27	pathname.rb:48
11	>> (2)	21	pathname.rb:48
12	>> (2)	14	pathname.rb:48
13	>> (2)	8	pathname.rb:48
14	>> (2)	11	pathname.rb:48
15	>> (2)	15	pathname.rb:48
16	>> (1)	229	pathname.rb:395
17	>> (0)	268	pathname.rb:353
18	>> (1)	546	char_mapped_display.rb:333
19	>> (0)	573	char_mapped_display.rb:97
20	>> (0)	48	char_mapped_display.rb:102
21	>> (1)	5	window_guard.rb:18
22	>> (0)	21	core.rb:726
23	>> (1)	27	input_handler.rb:38
24	>> (1)	21	input_handler.rb:38
25	>> (0)	128	input_handler.rb:41
26	>> (1)	11	window_guard.rb:18
27	>> (0)	45	core.rb:750
28	>> (1)	10	sequence_memory.rb:59
29	>> (0)	44	sequence_memory.rb:21
30	>> (1)	8	window_guard.rb:18
31	>> (0)	36	core.rb:774
32	>> (0)	7	looper_pedal.rb:141
33	>> (1)	4	window_guard.rb:18
34	>> (0)	21	core.rb:778
35	>> (0)	9	core.rb:24
36	>> (0)	37	scheduler.rb:29
37	>> (0)	16	rubyOF.rb:126
38	>> (0)	21	char_mapped_display.rb:315
39	>> (1)	3	window_guard.rb:18
40	>> (0)	22	core.rb:815
41	>> (0)	5	core.rb:24
42	>> (0)	29	scheduler.rb:29
43	>> (0)	15	char_mapped_display.rb:315
44	>> (1)	3	window_guard.rb:18
45	>> (0)	19	core.rb:935
46	>> (0)	15	rubyOF.rb:97
47	>> (0)	14	char_mapped_display.rb:315
48	>> (0)	4	core.rb:24
49	>> (0)	21	scheduler.rb:165
50	>> (1)	13	node_collection.rb:174
51	>> (0)	55	node_collection.rb:150
52	>> (0)	8	machine.rb:716
53	>> (0)	6	state.rb:160
54	>> (1)	673	char_mapped_display.rb:132
55	>> (0)	713	core.rb:1604
56	>> (1)	7	node_collection.rb:174
57	>> (0)	30	node_collection.rb:150
58	>> (0)	7	machine.rb:716
59	>> (0)	9	state.rb:160
60	>> (0)	54	live_code.rb:175
61	>> (0)	39	scheduler.rb:29
62	>> (0)	36	char_mapped_display.rb:315
63	>> (0)	35	char_mapped_display.rb:315
64	>> (0)	33	char_mapped_display.rb:315
65	>> (0)	34	char_mapped_display.rb:315
66	>> (0)	37	char_mapped_display.rb:315
67	>> (0)	12	core.rb:24
68	>> (0)	48	scheduler.rb:165
69	>> (1)	7	node_collection.rb:174
70	>> (0)	32	node_collection.rb:150
71	>> (0)	6	machine.rb:716
72	>> (0)	7	state.rb:160
73	>> (1)	427	char_mapped_display.rb:132
74	>> (0)	459	core.rb:1604
75	>> (1)	7	node_collection.rb:174
76	>> (0)	38	node_collection.rb:150
77	>> (0)	8	machine.rb:716
78	>> (0)	6	state.rb:160
79	>> (0)	37	live_code.rb:175
80	>> (0)	31	scheduler.rb:29
81	>> (0)	8	core.rb:24
82	>> (0)	35	scheduler.rb:29
83	>> (2)	18	rubyOF.rb:103
84	>> (1)	48	rubyOF.rb:111
85	>> (0)	67	rubyOF.rb:120
86	>> (2)	14	rubyOF.rb:103
87	>> (1)	39	rubyOF.rb:111
88	>> (0)	71	rubyOF.rb:120
89	>> (0)	8	char_mapped_display.rb:164
90	>> (0)	5202	char_mapped_display.rb:170
91	>> (0)	7	char_mapped_display.rb:201
92	>> (0)	29	char_mapped_display.rb:191
93	>> (0)	5	char_mapped_display.rb:207
94	>> (0)	14	char_mapped_display.rb:191
95	>> (0)	4	char_mapped_display.rb:201
96	>> (0)	13	char_mapped_display.rb:191
97	>> (0)	4	char_mapped_display.rb:207
98	>> (0)	14	char_mapped_display.rb:191
99	>> (0)	4	char_mapped_display.rb:201
100	>> (0)	23	char_mapped_display.rb:191
101	>> (0)	4	char_mapped_display.rb:207
102	>> (0)	13	char_mapped_display.rb:191
103	>> (0)	4	char_mapped_display.rb:201
104	>> (0)	13	char_mapped_display.rb:191
105	>> (0)	4	char_mapped_display.rb:207
106	>> (0)	13	char_mapped_display.rb:191
107	>> (0)	4	char_mapped_display.rb:201
108	>> (0)	13	char_mapped_display.rb:191
109	>> (0)	4	char_mapped_display.rb:207
110	>> (0)	13	char_mapped_display.rb:191
111	>> (0)	4	char_mapped_display.rb:201
112	>> (0)	12	char_mapped_display.rb:191
113	>> (0)	4	char_mapped_display.rb:207
114	>> (0)	24	char_mapped_display.rb:191
115	>> (0)	4	char_mapped_display.rb:201
